#ATOMDATA Id type x=3 u=3
#INPUTCONV shift 90 85 120
48 Proteus 2.654099e+01 -1.396127e+01 -3.239083e-01 -2.605433e-03 2.934830e-03 1.643478e-03 
49 Hygiea 3.181262e+00 -5.964410e-01 1.985969e-01 2.725688e-03 8.978217e-03 3.174434e-04 
50 Interamnia 1.287482e+00 2.302023e+00 5.235476e-01 -8.647924e-03 6.564927e-03 -2.285136e-03 
51 Miranda 1.989538e+01 2.522748e+00 -2.477234e-01 2.403406e-03 3.180507e-03 2.476119e-03 
52 Europa52 1.185851e+00 -3.215381e+00 1.422900e-01 8.209950e-03 2.930874e-03 -1.081561e-03 
53 Davida 2.960228e+00 -5.066352e-01 -7.627823e-01 -4.327259e-04 9.830598e-03 -7.319558e-04 
54 Eunomia -2.706760e+00 9.537718e-01 -4.385139e-01 -4.369948e-03 -8.393979e-03 -1.522916e-03 
55 Juno -2.082407e+00 4.268296e-01 3.703120e-04 8.187797e-04 -9.481445e-03 -2.213493e-06 
56 Janus -8.118629e+00 -5.457782e+00 4.184110e-01 1.148247e-02 -2.285200e-03 -2.080797e-03 
57 Epimetheus -8.119954e+00 -5.457063e+00 4.181624e-01 4.507174e-03 -1.264934e-02 3.938050e-03 
58 Prometheus -8.118308e+00 -5.457541e+00 4.182555e-01 9.619540e-03 9.949259e-04 -3.645316e-03 
59 Halley -2.038282e+01 2.448336e+01 -9.641085e+00 -1.708961e-04 1.067519e-03 -2.237398e-04 
60 Barycenter 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
