#ATOMDATA Id type x=3 u=3
#BOX 6.000000e-09 0.000000e+00 0.000000e+00 0.000000e+00 6.000000e-09 0.000000e+00 0.000000e+00 0.000000e+00 6.000000e-09
# INPUTCONV moment 1
# INPUTCONV angmoment 1
1  Fe 1.70819452165e-09 1.99687167292e-09 1.9958897558e-09 51.9376801103 74.6455265091 -88.9226883598 
2  Fe 1.99265947847e-09 1.70960449276e-09 1.99616542764e-09 45.3113578937 -88.040037727 84.6727698039 
3  Fe 1.99841733489e-09 1.9984703966e-09 1.70644674615e-09 62.6353579399 -17.5387472462 30.1251786436 
4  Ni 1.8510168042e-09 1.85135125972e-09 1.85363555857e-09 -43.9066375345 58.9525732952 -52.9905443792 
5  Fe 1.99298109996e-09 1.99445817909e-09 1.99754270446e-09 22.7366840107 -5.19005269985 -40.2722962854 
6  Fe 2.28228287551e-09 1.70626466259e-09 1.7082941927e-09 93.814099484 -43.1367935348 -27.6237100957 
7  Fe 2.27994807036e-09 1.70590169567e-09 1.99826285636e-09 -38.5007003036 -8.85980264696 2.58124363729 
8  Fe 2.28548086247e-09 1.99500918719e-09 1.70777450797e-09 -97.8765755882 -21.2103138311 73.4253478113 
9  Ni 2.13870031984e-09 1.85110062152e-09 1.854707362e-09 65.4536346744 35.1318809833 -96.0710940864 
10  Fe 2.28524662192e-09 1.99411738507e-09 1.99393009271e-09 84.3623128647 98.3501384958 5.61574283317 
11  Ni 2.56870351737e-09 1.42281190673e-09 1.99830176563e-09 -86.0222911397 50.287818513 -19.7387306577 
12  Fe 2.57209327316e-09 1.70997138519e-09 1.70940625839e-09 -74.9449794995 -4.40082368646 -7.77876838473 
13  Fe 2.4262587008e-09 1.56638872008e-09 1.85287665498e-09 -90.2722097888 -41.7654658397 74.6824843691 
14  Fe 2.57070544695e-09 1.70590552428e-09 1.9927279147e-09 39.8529688548 14.3278966259 33.6350575712 
15  Fe 2.56934100552e-09 1.99338662424e-09 1.42068609379e-09 86.8624245687 -62.9354193634 -71.5549952218 
16  Ni 2.42488370998e-09 1.85266949975e-09 1.56495075638e-09 -53.4098718098 -69.1213199725 -14.6917886635 
17  Fe 2.57117790268e-09 1.99661757011e-09 1.70885245205e-09 18.9664180945 -7.62202027609 76.4484086896 
